Table|Column|TypeName|Type|Scale|IsNullable|DefaultValue|IsRowVersion|IsAutoIncrement|Primary
0|0|INTEGER|4||0|||true|true
0|4|VARCHAR|12|256|0||||
0|5|VARCHAR|12|128|0||||
0|6|VARCHAR|12|128|0||||
0|7|VARCHAR|12|128|0||||
0|8|VARCHAR|12|128|0||||
0|14|TIMESTAMP WITH TIME ZONE|2014|6|0|CURRENT_TIMESTAMP(6)|||
0|15|TIMESTAMP WITH TIME ZONE|2014|6|0|CURRENT_TIMESTAMP(6)|||
0|16|TIMESTAMP WITH TIME ZONE|2014|6|0|CURRENT_TIMESTAMP(6)|||
0|17|TIMESTAMP|93|6|0|CURRENT_TIMESTAMP(6)|||
0|18|TIMESTAMP|93|6|0|CURRENT_TIMESTAMP(6)|||
1|1|INTEGER|4||0|||true|true
1|0|INTEGER|4||0||||
1|4|VARCHAR|12|256|0||||
1|8|VARCHAR|12|128|0||||
1|9|VARCHAR|12|128|0||||
1|10|VARCHAR|12|128|1||||
1|17|TIMESTAMP|93|6|0|CURRENT_TIMESTAMP(6)|||
1|18|TIMESTAMP|93|6|0|CURRENT_TIMESTAMP(6)|||
1|19|TIMESTAMP WITH TIME ZONE|2014|6|0||true||
1|20|TIMESTAMP WITH TIME ZONE|2014|6|0||true||
2|2|INTEGER|4||0|||true|true
2|1|INTEGER|4||0||||
2|4|VARCHAR|12|256|0||||
2|8|VARCHAR|12|128|1||||
2|10|VARCHAR|12|128|1||||
2|17|TIMESTAMP|93|6|0|CURRENT_TIMESTAMP(6)|||
2|18|TIMESTAMP|93|6|0|CURRENT_TIMESTAMP(6)|||
2|19|TIMESTAMP WITH TIME ZONE|2014|6|0||true||
2|20|TIMESTAMP WITH TIME ZONE|2014|6|0||true||
3|3|INTEGER|4||0|||true|true
3|4|VARCHAR|12|256|0||||
3|9|VARCHAR|12|128|0||||
3|11|VARCHAR|12|100000|0||||
3|17|TIMESTAMP|93|6|0|CURRENT_TIMESTAMP(6)|||
3|18|TIMESTAMP|93|6|0|CURRENT_TIMESTAMP(6)|||
3|19|TIMESTAMP WITH TIME ZONE|2014|6|0||true||
3|20|TIMESTAMP WITH TIME ZONE|2014|6|0||true||
4|1|INTEGER|4||0||||
4|3|INTEGER|4||0||||
4|17|TIMESTAMP|93|6|0|CURRENT_TIMESTAMP(6)|||
4|18|TIMESTAMP|93|6|0|CURRENT_TIMESTAMP(6)|||
5|2|INTEGER|4||0||||
5|3|INTEGER|4||0||||
5|17|TIMESTAMP|93|6|0|CURRENT_TIMESTAMP(6)|||
5|18|TIMESTAMP|93|6|0|CURRENT_TIMESTAMP(6)|||
6|3|INTEGER|4||0||||
6|12|INTEGER|4||0||||
6|13|VARCHAR|12|256|1||||
6|17|TIMESTAMP|93|6|0|CURRENT_TIMESTAMP(6)|||
6|18|TIMESTAMP|93|6|0|CURRENT_TIMESTAMP(6)|||
